country_name,continent,prevalence,tertile,RTDs/High-Strength Premixes,Processed Fruit and Vegetables,Processed Meat and Seafood,Ready Meals,"Rice, Pasta and Noodles","Sauces, Dressings and Condiments",Soup,Spreads,Chocolate Confectionery,Gum,Sugar Confectionery,Savoury Snacks,"Sweet Biscuits, Snack Bars and Fruit Snacks",Bottled Water,Carbonates,Concentrates,Juice,Sports and Energy Drinks,Coffee,Tea,Other Hot Drinks,Baked Goods,Breakfast Cereals,Butter and Margarine,Cheese,Edible Oils,Beer,Spirits,Wine,Eggs,Fish and Seafood,Fruits,Meat,Nuts,Pulses,Starchy Roots,Sugar and Sweeteners,Vegetables,Baby Food,Drinking Milk Products,Yoghurt and Sour Milk Products,Other Dairy,Ice Cream and Frozen Desserts,Cocoa Powder,Emulsifiers and Co-Emulsifiers,Fats and Oils,Flours,Milk
Costa Rica,America,0.2441945,3,1319.866667,2526.9,9112.666667,92.7,58279.06667,3943.833333,256.6666667,473.5333333,431.0333333,259.0333333,565.3666667,3122.133333,3181.233333,20739.03333,72916.96667,814.0333333,16774.1,3799.7,3778.133333,43.4,484.6,24395.73333,886.9666667,3555.033333,2124.833333,7344.066667,34645,2894.033333,1195.1667,8543.333333,3639.766667,58410.5,31322.76667,856.8333333,5344.233333,7946.133333,24740.96667,30891.7,496.3,32771.83333,2410.6,3623.8,2308.833333,167.4,224.2,13888.96667,21025.7,39003.46667
Russian Federation,Europe,0.2451274,3,3047.233333,6048.166667,11937.9,4170.6,8698.3,8461.866667,249.3333333,419.1333333,4740.7,102.1333333,2603.9,2942.833333,4671.4,23902.33333,28801.96667,3.5,19564.1,650.2666667,719.9666667,1306,84.3,39451.73333,527.2333333,3370.066667,4643.666667,7826.733333,78060.13333,13955.03333,7025.4667,10006.73333,13149.1,44258.4,37197.2,262.5,1685.133333,74446.8,24995.03333,69440.5,2513,30455.86667,13908.1,5871.566667,2244.033333,195.8,502.2666667,18539.56667,31599.4,52046.36667
Ireland,Europe,0.2457695,3,2224.766667,24923.63333,14496.36667,6819.933333,7718.466667,9482.6,3156.5,1640,8329.7,414.0666667,3278.966667,11137.23333,6877.933333,40230.93333,103062.6667,9383.266667,21938.4,10059.9,894.8333333,2460.433333,257.0666667,61043.63333,7636.866667,10577.9,5448.966667,4371.866667,127574.1667,5110.9,16988,6473.066667,12499.53333,54876.6,79576.4,947.6,1332.5,52866.83333,8137.166667,59545.4,1468.5,145484.4667,12243,5275.966667,5881.433333,334.2333333,661.4666667,22925.83333,45092.7,166411.8333
United Kingdom,Europe,0.2467008,3,2175.033333,44816.1,32313.36667,15679.66667,8744.866667,13525.23333,4994.2,2496.266667,7430.966667,350.2666667,3169,10205.83333,8063.833333,30377.03333,78057.83333,7077.366667,39878.26667,7630.533333,1377.4,1847.733333,290.7333333,58107.26667,8521.366667,9000.3,8736.733333,0,89138.56667,5050.866667,22819.4,7261.333333,10411.23333,45030.23333,34241.5,263.0333333,2636.333333,44567.36667,8187.933333,60857.7,1025.1,95073.9,9369.633333,6384.6,7785.766667,421.8333333,669.7,24986.23333,44291.43333,116990.3
Australia,Oceania,0.2496787,3,17711.1,37561.03333,14120.16667,5892.9,13333.56667,14794.9,3311.966667,3037.366667,4062.4,185.2333333,3875.866667,7131.6,6610.2,28598.66667,96457,6547.933333,34816,6272.333333,2205.333333,789.6333333,744.9,44731.86667,5558.466667,6491.8,10243.5,3703.1,92031.9,2658.133333,23596.5333,8744.766667,11849.46667,46475.83333,85318.4,566.1333333,3037.5,20019.16667,11788.5,55720.86667,1138.2,106053.6,8436.466667,7351.466667,14535.43333,480.6,418.2666667,19898.5,38028.23333,127179.6333
Israel,Asia,0.2549704,3,89.66666667,10523.06667,8205.066667,1653.866667,12452,14407.76667,435.9666667,1724.4,2270.633333,371.5666667,627.8,6146.766667,6611.466667,65694.96667,74335.06667,1563.533333,33227.76667,1842.166667,1470.9,158.1,209.3333333,32334.9,2793.933333,1754.833333,8067.666667,29666.43333,9812.333333,1414.633333,3246.7333,10252,12987.16667,95019.83333,48178.23333,3193.733333,5244.666667,17548.6,38341.96667,157388.0333,972.1333333,55765.76667,16551.66667,10085.1,3724.933333,333.8,351.4666667,37119.36667,26631.73333,86646.1
Slovenia,Europe,0.2638705,3,2454.966667,7337.333333,11419.26667,2031.9,10990.76667,6365.633333,508.9,2039.6,3704.966667,234.2333333,1115.433333,3062.2,4645.4,69322.5,37099.73333,2377.3,25435.13333,2413.4,6250.933333,211.3,594.2,57991.4,1026.1,3039.866667,8041.9,9345.233333,83251.7,2772.433333,40043.3667,5639.466667,10319.6,61491.46667,38069.73333,11.3,2042.966667,15762.9,14666.83333,77765.4,1059.166667,75184,13103.76667,7001.166667,3239.9,228.3666667,353.1,17559.2,45317.53333,99504.33333
New Zealand,Oceania,0.2697569,3,13807.16667,27303.33333,13120.16667,6621.033333,9497.566667,10763.43333,1730.533333,3156.2,3892.033333,215.2666667,2465.766667,7701.7,7662.866667,12659.43333,56701.1,950.7,20378.96667,5561.966667,953.3333333,1005.566667,631.5666667,37284.33333,5694.7,11219.43333,8129.2,2133.166667,75100.5,2380.4,22806.6667,9203.966667,14368.1,58103.06667,71276.33333,793.5,1176.8,48307.43333,14777.5,46952.56667,1018.166667,114335.4,6150.566667,5392.4,13494.66667,277.6333333,369.9666667,19198.36667,32005.36667,132800.9667
Czech Republic,Europe,0.2793095,3,410.5,8943.833333,17111.43333,1814.266667,12743.13333,11062.4,626.1333333,1784.866667,4986.066667,222.9333333,1556.366667,3915.133333,4064.933333,131386.6333,65407.43333,2530.766667,23440.5,1695.566667,2505.3,411.4,498.2,88393.46667,1048,8767,10387.53333,8192.433333,161790.6333,6810.933333,16891.7667,11303.46667,4895.866667,41855.76667,56775.3,496.2333333,1064.233333,61729.63333,16625.7,79424.7,1141.233333,42347.36667,13655.96667,9601.6,3062,215.4666667,511.8333333,21927.36667,62208.33333,70163.76667
Chile,America,0.2896358,3,431.2666667,9581.966667,6937.666667,383.4666667,17394.66667,6575.5,266.4,1483.633333,1843.7,212.7666667,1220.4,3900.233333,4238.733333,16563.26667,125759.5333,1251.966667,12314.13333,385.2,382.6,710.3666667,829.4333333,94489.66667,1060.533333,3566.533333,5918.5,11228.26667,33044.86667,3477.5,16454.7667,7091.8,20827.73333,61046.76667,62239.13333,1627.966667,4187.133333,50147,23682.63333,94548.26667,591.8333333,20579.7,8320.166667,5449.9,5682.866667,276.8666667,483.3,20101.93333,69019.1,37038.3
Turkey,Asia,0.2914153,3,13.25,2046.233333,1889.1,186.6333333,8633.833333,4300.166667,171.9666667,1478.9,1275.7,169.6333333,2233.7,3806.833333,3189.066667,107464.4667,39099.96667,94.76666667,9879.166667,268.4666667,379.1333333,2854.966667,67.16666667,190884.2,164.2,3773.266667,4221.2,0,12231.93333,831.8,1062.9667,9172.866667,6309.566667,106660.0333,23868.56667,842.2333333,11690.9,38470.96667,19837.96667,154710.9333,487.3333333,10062.76667,14811.1,655.6,2498.266667,208.5666667,191.9,23311.96667,119329.8,29359
Argentina,America,0.2914428,3,244.1333333,6191.133333,7668.366667,107.3666667,14493.13333,7684.366667,124.8666667,994.1,852.4,489.6333333,2236.766667,4629.2,6835.9,101855.3333,175783.5667,4728.7,3215.966667,1260.6,831.3,181.7,6280.733333,67932.63333,404,1472.533333,12675.66667,10130.9,43905,1233.533333,28409.6333,9879.566667,4408.266667,95019.53333,84884.2,1123.9,1272.6,41013.73333,15109.23333,60195.13333,770.0333333,37293.83333,9990.833333,4294.766667,1868.066667,325.6,402.2,16529.06667,53816.06667,60104.7
Venezuela (Bolivarian Republic of),America,0.3062608,3,927.8666667,3237.066667,4561,231.9666667,32886.96667,4903.833333,278.4333333,64.2,390.6333333,204.9333333,754.7,3098.533333,2676.633333,17834.3,78869.43333,13.23333333,16732.3,4353.633333,1686.133333,20.6,962.3333333,21631.66667,1411.566667,4678.666667,5561.833333,8599.066667,88484.73333,3926,532.9,4472.933333,13037.73333,79704.33333,45626.7,1607.6,5093.1,35219.06667,18712.46667,54012.56667,1441.566667,15388.1,1643,561.1666667,1493.133333,117.1333333,217.1,14898.06667,28510.26667,21720.8
United States of America,America,0.3179603,3,2067.1,41296.2,33816.4,10371.56667,12404.43333,19534.26667,6092.1,3557.733333,5709.8,693.4333333,3045.933333,14440.53333,6181.533333,101035.2333,179902.7333,17.03333333,54529.2,18567.8,2851.2,217.8666667,238.2333333,42426.43333,5745.266667,6330.6,10587.76667,7076.7,80914.63333,5212.2,8628.1,14670.36667,5465.033333,56064.76667,64325.96667,1188.133333,1211.333333,18238.23333,11208.13333,62105.46667,1220.5,79580.73333,6234.633333,10499.73333,11902.43333,644.8,837.8,29411.8,34784.43333,100723.3333
Mexico,America,0.3270856,3,874.3333333,4488.633333,4637.7,497.3,9456.033333,8500.7,269.6333333,974.7666667,406.5333333,722.8333333,1920.3,4336.2,4551.433333,145684.5333,140737.0333,211.7666667,26682.13333,2519.1,557.2666667,15.5,654.0666667,167381.6333,1022.8,3317.6,5663.266667,11951.13333,57139.53333,1877.266667,500.7667,17642.73333,5555.1,77902.9,45241.43333,2907.4,10123.26667,7844.866667,21776.53333,54477.53333,659.9666667,49364.3,5119.933333,4731.933333,2428.166667,344.3666667,294.0666667,28015.73333,108494.4333,65728.83333
South Africa,Africa,0.334897,3,3278.166667,5927.266667,3512.933333,460.2333333,15566.8,2433.666667,204.6666667,388.6666667,902.7666667,218.7,1049.466667,1953.566667,782.9666667,6007.966667,62444.13333,3670.633333,7477.233333,1538.466667,97.3,489.5,471.1666667,29825.16667,1848.1,3117.866667,2471.2,11290.9,59794.4,2365.4,6842.0333,7390.466667,5383.466667,21316.43333,45361.3,1269.366667,2358.5,26957.63333,24765,35341.26667,657.4,26272.73333,3927.466667,1856.4,1326.533333,55.23333333,247.0666667,15623.16667,18530.43333,32373.9
United Arab Emirates,Africa,0.3391329,3,125.5333333,9416.633333,4180.066667,236.3666667,60477.03333,6268.566667,230.9,784.2333333,1697.366667,158.7333333,487.7666667,4176.266667,3882.766667,163199.4667,59504.53333,508.4,51552.53333,5522.133333,1915.4,1545.133333,139.8333333,44854.83333,1254.8,1601.1,3254.3,13963.93333,12461.13333,2555.8,1951.2667,9543.533333,15767.63333,88710.63333,56572.6,10616.76667,15393.3,32178.7,27621.96667,70104.16667,968.1333333,34986.36667,26258.56667,11308.53333,2187.9,158.4,246.6666667,20037.56667,32608.4,67731.2
Egypt,Africa,0.3453154,3,7.533333333,1202.5,2489.666667,5.9,26409.13333,2774.566667,7.266666667,448.4,243.0666667,171.6,718.6,1633.233333,1621.5,15191.4,27448.76667,43.36666667,6726,24.73333333,276.7333333,1200.466667,28.46666667,78885.13333,35.36666667,3811.833333,4105.133333,7266.3,1277.766667,23.96666667,44.6333,3513.166667,11994.93333,79056.46667,17265.56667,649,10016.83333,20205.26667,21488.6,143320.9,132.1666667,2119.733333,2893.533333,181.2,3687.533333,58.26666667,54.93333333,13445.93333,54922.06667,8820.6
Saudi Arabia,Asia,0.3532876,3,0,7585.9,2002.7,49.4,36049.96667,4214.8,112.8666667,767.8333333,1384.466667,288.7333333,861.0333333,2868.033333,1315.066667,136516.7667,99027.7,458.6333333,32660.76667,2443.833333,415.5666667,556.4333333,283.7,124947.6333,821.5,525.7666667,2688.533333,5881.966667,2652.8,0,0,4441.066667,6518.866667,36350.43333,44202.53333,808.3333333,2715,5200.933333,19286.13333,57544.86667,883.4333333,25288.8,17797.36667,3494.833333,1400.6,229.5333333,143.7,11653.46667,82370.6,45401.13333
