#source_id,id2,RA,Dec,gl,gb,amplitude,beyond1std,fpr_mid20,fpr_mid35,fpr_mid50,fpr_mid65,fpr_mid80,linear_trend,max_slope,med_abs_dev,med_buf_range_per,pair_slope_trend,percent_amplitude,pdfp,skew,kurtosis,std,magratio,data_num,npeaks,peakstats,class
CSS100519:221129-030516,1004119058176,332.869671,-3.087502,97.118792,-45.237218,2.660000,0.110320,0.097954,0.165103,0.281873,0.417694,0.589516,-0.000111,440.344403,0.240000,0.967972,0.466667,32.419504,1.694429,-3.042050,12.831591,0.716691,0.491103,281,8,0.280,0
CSS100520:214426+222024,1121110100268,326.110086,22.340266,79.521594,-23.207929,1.325000,0.084211,0.034550,0.055543,0.090708,0.132662,0.245863,-0.000063,25.089606,0.070000,0.978947,0.433333,7.871560,1.326891,-4.173433,19.256660,0.399955,0.468421,190,4,0.399,0
CSS100520:223234+185036,1118116051482,338.140501,18.843176,72.346065,-33.164953,1.615000,0.136808,0.106765,0.175514,0.300280,0.427188,0.660406,0.000038,305.084746,0.160000,0.983713,0.366667,8.289664,1.002930,-3.002471,15.338872,0.396340,0.498371,307,8,0.289,0
CSS100521:223910+250331,1123112072242,339.790871,25.058760,66.744023,-28.926559,1.935000,0.188940,0.124731,0.265048,0.418730,0.590716,0.776724,0.000096,224.489796,0.280000,0.981567,0.500000,6.046931,1.262387,-0.854970,3.730518,0.560571,0.497696,217,7,0.283,0
CSS100521:224754+235522,1123113037675,341.974715,23.922662,65.502865,-30.947315,2.760000,0.571429,0.190859,0.239552,0.778339,0.986058,0.999066,-0.000184,24.330900,1.540000,0.571429,0.461538,3.128899,4.103323,0.132307,-1.692414,2.193141,0.500000,14,0,0.000,0
CSS100522:084108+102537,1109046049752,130.283834,10.426790,119.569148,29.581699,2.800000,0.098901,0.035379,0.055949,0.083497,0.116333,0.169476,-0.000184,210.045662,0.325000,0.939560,0.633333,50.760134,7.118522,-2.799328,8.554922,1.024271,0.500000,182,5,0.145,0
CSS100522:201840-184718,9060101810521034052,304.668486,-18.788254,130.793831,-27.953822,1.142001,0.200000,0.014601,0.025553,0.036504,0.397815,0.759126,-0.006357,3.157328,0.021975,0.800000,0.750000,0.873278,0.734879,1.498678,0.248245,0.902922,0.400000,5,0,0.000,0
CSS100524:210758-051741,1004113012012,316.992229,-5.294657,110.645518,-33.110777,1.890000,0.328804,0.275715,0.440419,0.577809,0.677025,0.806788,-0.000426,496.093751,0.645000,0.980978,0.600000,5.165362,2.646846,0.038856,-0.880615,0.795179,0.500000,368,44,0.169,0
CSS100531:134052+151341,1115071023532,205.216876,15.228042,165.662073,72.877051,1.875000,0.013333,0.129109,0.258262,0.356822,0.510314,0.681976,-0.000058,471.153845,0.060000,0.986667,0.433333,23.210290,0.285366,-7.923928,63.780631,0.404854,0.463333,300,1,0.000,0
CSS100531:154354-143745,6032201508221046623,235.975517,-14.629145,162.228708,30.302195,0.900106,0.500000,0.236738,0.344283,0.495734,0.811250,0.891009,-0.000639,89.779316,0.422852,1.000000,0.454545,0.815155,1.310290,0.411467,-0.993351,0.557274,0.500000,12,1,0.000,0
CSS100606:214814-121839,7060901211521026537,327.057153,-12.310857,112.572923,-45.185931,1.709520,0.333333,0.005433,0.350056,0.694680,0.937024,0.974810,-0.003024,15.272884,0.103345,0.666667,0.400000,0.950454,1.078407,0.703531,-1.499800,1.559176,0.500000,6,2,0.000,0
CSS100609:162718+120435,1112087025742,246.826522,12.076403,128.383313,36.833032,3.010000,0.199377,0.108861,0.189791,0.326013,0.508215,0.695137,-0.000004,1022.727273,0.360000,0.971963,0.466667,43.463127,2.110096,-1.807342,8.238869,0.755547,0.498442,321,7,0.247,0
CSS100610:231552+271037,1126113048504,348.968013,27.177090,57.222848,-31.017143,2.975000,0.117647,0.008517,0.014831,0.027479,0.043105,0.083891,-0.000241,1055.555568,0.300000,0.915441,0.566667,50.048335,20.290157,-2.344305,5.431314,1.064474,0.500000,272,7,0.281,0
CSS100613:203214-112601,9072701210811090019,308.058406,-11.433556,121.676623,-28.039277,2.182419,0.500000,0.308779,0.772811,0.837419,0.881211,0.924796,0.002904,127.815419,0.797474,0.600000,0.444444,18.889663,18.166449,-0.318105,-1.748657,1.709526,0.500000,10,0,0.000,0
